# t K U E
0.271 0.530451 23.5491 24.0796
0.272 0.53433 23.5452 24.0796
0.273 0.538222 23.5413 24.0796
0.274 0.542128 23.5374 24.0796
0.275 0.546047 23.5335 24.0796
0.276 0.549981 23.5296 24.0796
0.277 0.553928 23.5256 24.0796
0.278 0.55789 23.5217 24.0796
0.279 0.561864 23.5177 24.0796
0.28 0.565853 23.5137 24.0796
0.281 0.569855 23.5097 24.0796
0.282 0.573872 23.5057 24.0796
0.283 0.577902 23.5017 24.0796
0.284 0.581945 23.4976 24.0796
0.285 0.586003 23.4936 24.0796
0.286 0.590074 23.4895 24.0796
0.287 0.594159 23.4854 24.0796
0.288 0.598258 23.4813 24.0796
0.289 0.60237 23.4772 24.0796
0.29 0.606496 23.4731 24.0796
0.291 0.610636 23.4689 24.0796
0.292 0.614789 23.4648 24.0796
0.293 0.618957 23.4606 24.0796
0.294 0.623138 23.4564 24.0796
0.295 0.627332 23.4522 24.0796
0.296 0.631541 23.448 24.0796
0.297 0.635763 23.4438 24.0796
0.298 0.639998 23.4396 24.0796
0.299 0.644248 23.4353 24.0796
0.3 0.648511 23.4311 24.0796
0.301 0.652788 23.4268 24.0796
0.302 0.657078 23.4225 24.0796
0.303 0.661382 23.4182 24.0796
0.304 0.6657 23.4139 24.0796
0.305 0.670031 23.4095 24.0796
0.306 0.674376 23.4052 24.0796
0.307 0.678735 23.4008 24.0796
0.308 0.683107 23.3965 24.0796
0.309 0.687493 23.3921 24.0796
0.31 0.691892 23.3877 24.0796
0.311 0.696306 23.3833 24.0796
0.312 0.700732 23.3788 24.0796
0.313 0.705173 23.3744 24.0796
0.314 0.709627 23.3699 24.0796
0.315 0.714094 23.3655 24.0796
0.316 0.718575 23.361 24.0796
0.317 0.72307 23.3565 24.0796
0.318 0.727578 23.352 24.0796
0.319 0.7321 23.3475 24.0796
0.32 0.736636 23.3429 24.0796
0.321 0.741185 23.3384 24.0796
0.322 0.745747 23.3338 24.0796
0.323 0.750323 23.3292 24.0796
0.324 0.754913 23.3247 24.0796
0.325 0.759516 23.3201 24.0796
0.326 0.764133 23.3154 24.0796
0.327 0.768763 23.3108 24.0796
0.328 0.773407 23.3062 24.0796
0.329 0.778064 23.3015 24.0796
0.33 0.782735 23.2968 24.0796
0.331 0.787419 23.2921 24.0796
0.332 0.792117 23.2875 24.0796
0.333 0.796828 23.2827 24.0796
0.334 0.801553 23.278 24.0796
0.335 0.806291 23.2733 24.0796
0.336 0.811043 23.2685 24.0796
0.337 0.815808 23.2638 24.0796
0.338 0.820587 23.259 24.0796
0.339 0.825379 23.2542 24.0796
0.34 0.830185 23.2494 24.0796
0.341 0.835004 23.2446 24.0796
0.342 0.839836 23.2397 24.0796
