# t K U E
0.32 5.00001 0.000186352 5.00019
0.321 5.00001 0.000186309 5.00019
0.322 5.00001 0.000186266 5.00019
0.323 5.00001 0.000186223 5.00019
0.324 5.00001 0.000186179 5.00019
0.325 5.00001 0.000186136 5.00019
0.326 5.00001 0.000186092 5.00019
0.327 5.00001 0.000186048 5.00019
0.328 5.00001 0.000186004 5.00019
0.329 5.00001 0.00018596 5.00019
0.33 5.00001 0.000185916 5.00019
0.331 5.00001 0.000185872 5.00019
0.332 5.00001 0.000185827 5.00019
0.333 5.00001 0.000185783 5.00019
0.334 5.00001 0.000185738 5.00019
0.335 5.00001 0.000185693 5.00019
0.336 5.00001 0.000185648 5.00019
0.337 5.00001 0.000185603 5.00019
0.338 5.00001 0.000185558 5.00019
0.339 5.00001 0.000185513 5.00019
0.34 5.00001 0.000185467 5.00019
0.341 5.00001 0.000185422 5.00019
0.342 5.00001 0.000185376 5.00019
0.343 5.00001 0.000185331 5.00019
0.344 5.00001 0.000185285 5.00019
0.345 5.00001 0.000185239 5.00019
0.346 5.00001 0.000185192 5.00019
0.347 5.00001 0.000185146 5.00019
0.348 5.00001 0.0001851 5.00019
0.349 5.00001 0.000185053 5.00019
0.35 5.00001 0.000185007 5.00019
0.351 5.00001 0.00018496 5.00019
0.352 5.00001 0.000184913 5.00019
0.353 5.00001 0.000184866 5.00019
0.354 5.00001 0.000184819 5.00019
0.355 5.00001 0.000184772 5.00019
0.356 5.00001 0.000184724 5.00019
0.357 5.00001 0.000184677 5.00019
0.358 5.00001 0.000184629 5.00019
0.359 5.00001 0.000184582 5.00019
0.36 5.00001 0.000184534 5.00019
0.361 5.00001 0.000184486 5.00019
0.362 5.00001 0.000184438 5.00019
0.363 5.00001 0.00018439 5.00019
0.364 5.00001 0.000184341 5.00019
0.365 5.00001 0.000184293 5.00019
0.366 5.00001 0.000184244 5.00019
0.367 5.00001 0.000184196 5.00019
0.368 5.00001 0.000184147 5.00019
0.369 5.00001 0.000184098 5.00019
0.37 5.00001 0.000184049 5.00019
0.371 5.00001 0.000184 5.00019
0.372 5.00001 0.00018395 5.00019
0.373 5.00001 0.000183901 5.00019
0.374 5.00001 0.000183851 5.00019
0.375 5.00001 0.000183802 5.00019
0.376 5.00001 0.000183752 5.00019
0.377 5.00001 0.000183702 5.00019
0.378 5.00001 0.000183652 5.00019
0.379 5.00001 0.000183602 5.00019
0.38 5.00001 0.000183552 5.00019
0.381 5.00001 0.000183502 5.00019
0.382 5.00001 0.000183451 5.00019
0.383 5.00001 0.0001834 5.00019
0.384 5.00001 0.00018335 5.00019
0.385 5.00001 0.000183299 5.00019
0.386 5.00001 0.000183248 5.00019
0.387 5.00001 0.000183197 5.00019
0.388 5.00001 0.000183146 5.00019
0.389 5.00001 0.000183095 5.00019
0.39 5.00001 0.000183043 5.00019
0.391 5.00001 0.000182992 5.00019
0.392 5.00001 0.00018294 5.00019
0.393 5.00001 0.000182888 5.00019
0.394 5.00001 0.000182836 5.00019
0.395 5.00001 0.000182784 5.00019
0.396 5.00001 0.000182732 5.00019
0.397 5.00001 0.00018268 5.00019
0.398 5.00001 0.000182628 5.00019
0.399 5.00001 0.000182575 5.00019
0.4 5.00001 0.000182523 5.00019
0.401 5.00001 0.00018247 5.00019
0.402 5.00001 0.000182417 5.00019
0.403 5.00001 0.000182364 5.00019
0.404 5.00001 0.000182311 5.00019
0.405 5.00001 0.000182258 5.00019
0.406 5.00001 0.000182205 5.00019
0.407 5.00001 0.000182152 5.00019
0.408 5.00001 0.000182098 5.00019
0.409 5.00001 0.000182045 5.00019
0.41 5.00001 0.000181991 5.00019
0.411 5.00001 0.000181937 5.00019
0.412 5.00001 0.000181883 5.00019
0.413 5.00001 0.000181829 5.00019
0.414 5.00001 0.000181775 5.00019
0.415 5.00001 0.000181721 5.00019
0.416 5.00001 0.000181666 5.00019
0.417 5.00001 0.000181612 5.00019
0.418 5.00001 0.000181557 5.00019
0.419 5.00001 0.000181502 5.00019
0.42 5.00001 0.000181447 5.00019
0.421 5.00001 0.000181392 5.00019
0.422 5.00001 0.000181337 5.00019
0.423 5.00001 0.000181282 5.00019
0.424 5.00001 0.000181227 5.00019
0.425 5.00001 0.000181171 5.00019
0.426 5.00001 0.000181116 5.00019
0.427 5.00001 0.00018106 5.00019
0.428 5.00001 0.000181005 5.00019
0.429 5.00001 0.000180949 5.00019
0.43 5.00001 0.000180893 5.00019
0.431 5.00001 0.000180837 5.00019
0.432 5.00001 0.00018078 5.00019
0.433 5.00001 0.000180724 5.00019
0.434 5.00001 0.000180668 5.00019
0.435 5.00001 0.000180611 5.00019
0.436 5.00001 0.000180555 5.00019
0.437 5.00001 0.000180498 5.00019
0.438 5.00001 0.000180441 5.00019
0.439 5.00001 0.000180384 5.00019
0.44 5.00001 0.000180327 5.00019
0.441 5.00001 0.00018027 5.00019
0.442 5.00001 0.000180212 5.00019
0.443 5.00001 0.000180155 5.00019
0.444 5.00001 0.000180097 5.00019
0.445 5.00001 0.00018004 5.00019
0.446 5.00001 0.000179982 5.00019
0.447 5.00001 0.000179924 5.00019
0.448 5.00001 0.000179866 5.00019
0.449 5.00001 0.000179808 5.00019
0.45 5.00001 0.00017975 5.00019
0.451 5.00001 0.000179692 5.00019
0.452 5.00001 0.000179633 5.00019
0.453 5.00001 0.000179575 5.00019
0.454 5.00001 0.000179516 5.00019
0.455 5.00001 0.000179457 5.00019
0.456 5.00001 0.000179399 5.00019
0.457 5.00001 0.00017934 5.00019
0.458 5.00001 0.000179281 5.00019
0.459 5.00001 0.000179221 5.00019
0.46 5.00001 0.000179162 5.00019
0.461 5.00001 0.000179103 5.00019
0.462 5.00001 0.000179043 5.00019
0.463 5.00001 0.000178984 5.00019
0.464 5.00001 0.000178924 5.00019
0.465 5.00001 0.000178864 5.00019
0.466 5.00001 0.000178804 5.00019
0.467 5.00001 0.000178744 5.00019
0.468 5.00001 0.000178684 5.00019
0.469 5.00001 0.000178624 5.00019
0.47 5.00001 0.000178564 5.00019
0.471 5.00001 0.000178503 5.00019
0.472 5.00001 0.000178443 5.00019
0.473 5.00001 0.000178382 5.00019
0.474 5.00001 0.000178321 5.00019
0.475 5.00002 0.00017826 5.00019
0.476 5.00002 0.000178199 5.00019
0.477 5.00002 0.000178138 5.00019
0.478 5.00002 0.000178077 5.00019
0.479 5.00002 0.000178016 5.00019
0.48 5.00002 0.000177954 5.00019
0.481 5.00002 0.000177893 5.00019
0.482 5.00002 0.000177831 5.00019
0.483 5.00002 0.00017777 5.00019
0.484 5.00002 0.000177708 5.00019
0.485 5.00002 0.000177646 5.00019
